riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs527430-G	4.00E-07	(Citalopram+Buspirone, General side effects)	0.39	-	-	-	FOXD2,RPL21P24	Response to anti-depressant treatment in major depressive disorder	antidepressant-induced side effect,response to citalopram,response to buspirone,response to antidepressant	-	GCST001308	790886:49:00	22041458	Clark SL
rs17766217-A	3.00E-07	(Citalopram+Buspirone, General side effects)	0.01	-	-	-	CASC8	Response to anti-depressant treatment in major depressive disorder	antidepressant-induced side effect,response to citalopram,response to buspirone,response to antidepressant	-	GCST001308	2124878:52:00	22041458	Clark SL
rs16861531-G	7.00E-07	(Citalopram+Buspirone, Dizziness)	0.03	-	-	-	LINC00276	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	237634:08:00	22041458	Clark SL
rs6795349-G	2.00E-06	(Citalopram+Buspirone, Dizziness)	0.03	-	-	-	CHL1-AS2	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	2182:54:00	22041458	Clark SL
rs491376-C	2.00E-06	(Citalopram+Buspirone, Dizziness)	0.01	-	-	-	U6	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	218589:38:00	22041458	Clark SL
rs573332-G	1.00E-06	(Citalopram+Buspirone, Dizziness)	0.11	-	-	-	U6	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	218685:51:00	22041458	Clark SL
rs2163287-A	3.00E-06	(Citalopram+Buspirone, Dizziness)	0.02	-	-	-	ZDHHC14	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	2627010:11:00	22041458	Clark SL
rs7015622-C	1.00E-06	(Citalopram+Buspirone, Dizziness)	0.01	-	-	-	-	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	1383200:59:00	22041458	Clark SL
rs10988449-T	3.00E-06	(Citalopram+Buspirone, Dizziness)	0.17	-	-	-	NTMT1,LINC00963	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	2160143:41:00	22041458	Clark SL
rs8039808-A	5.00E-07	(Citalopram+Buspirone, Dizziness)	0.06	-	-	-	DTWD1	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	827475:49:00	22041458	Clark SL
rs2034588-G	2.00E-06	(Citalopram+Buspirone, Dizziness)	0.02	-	-	-	LINC02152	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	138004:45:00	22041458	Clark SL
rs12157904-G	2.00E-06	(Citalopram+Buspirone, Dizziness)	0.07	-	-	-	LGALS2,GGA1	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	626455:25:00	22041458	Clark SL
rs16990008-C	2.00E-06	(Citalopram+Buspirone, Dizziness)	0.02	-	-	-	DMD	Response to anti-depressant treatment in major depressive disorder	response to citalopram,antidepressant-induced dizziness,response to buspirone,response to antidepressant	-	GCST001308	X:31997259	22041458	Clark SL
rs10517287-T	2.00E-07	(Citalopram+Bupropion, Vision/hearing-related side effects)	0.11	-	-	-	-	Response to anti-depressant treatment in major depressive disorder	antidepressant-induced visual impairment,response to bupropion,response to citalopram,response to antidepressant	-	GCST001308	560388:40:00	22041458	Clark SL
rs17647114-T	4.00E-07	(Citalopram+Bupropion, Vision/hearing-related side effects)	0.03	-	-	-	AGBL1	Response to anti-depressant treatment in major depressive disorder	antidepressant-induced visual impairment,response to bupropion,response to citalopram,response to antidepressant	-	GCST001308	1448240:14:00	22041458	Clark SL
rs2291477-C	3.00E-08	(Hispanic or Latino)	0.884	-	9.31 unit increase	[6.04-12.58]	TGFBR3	QT interval (tricyclic/tetracyclic antidepressant use interaction)	response to tetracyclic antidepressant,QT interval,response to tricyclic antidepressant	-	GCST004010	1528547:18:00	28039329	Noordam R
rs6737205-A	8.00E-09	(EA)	0.94	-	56.3 unit increase	[37.29-75.31]	BABAM2	RR interval (tricyclic/tetracyclic antidepressant use interaction)	RR interval,response to tetracyclic antidepressant,response to tricyclic antidepressant	-	GCST004011	468442:46:00	28039329	Noordam R
rs9830388-A	2.00E-08	(EA)	0.51	-	25.2 unit increase	[16.38-34.02]	UBE2E2	RR interval (tricyclic/tetracyclic antidepressant use interaction)	RR interval,response to tetracyclic antidepressant,response to tricyclic antidepressant	-	GCST004011	391970:36:00	28039329	Noordam R
rs11867129-T	3.00E-07	(EA)	0.09	-	35.7 unit increase	[22.18-49.22]	ABCA3	RR interval (tricyclic/tetracyclic antidepressant use interaction)	RR interval,response to tetracyclic antidepressant,response to tricyclic antidepressant	-	GCST004011	38604:07:00	28039329	Noordam R
rs111365677-?	1.00E-07	-	NR	17.54386	-	[4.33-71.43]	LINC01708	Response to citalopram or escitalopram in depression	response to escitalopram,response to citalopram	unipolar depression,mood disorder	GCST003802	1657727:18:00	27622933	Li QS
rs142484554-?	3.00E-07	-	NR	1.459854	-	[1.26-1.69]	SPSB4	Response to citalopram or escitalopram in depression	response to escitalopram,response to citalopram	unipolar depression,mood disorder	GCST003802	2350993:54:00	27622933	Li QS
rs188843168-?	4.00E-07	-	NR	449.83	-	[5.402-Inf]	ATP5MK	Response to citalopram or escitalopram in depression	response to escitalopram,response to citalopram	unipolar depression,mood disorder	GCST003802	1723179:44:00	27622933	Li QS
rs6546604-?	5.00E-07	-	NR	1.2787724	-	[1.16-1.41]	BRD7P6,TGFA	Response to citalopram or escitalopram in depression	response to escitalopram,response to citalopram	unipolar depression,mood disorder	GCST003802	1173596:35:00	27622933	Li QS
rs34177316-?	6.00E-07	-	NR	1.355	-	[1.203-1.528]	APBB2	Response to citalopram or escitalopram in depression	response to escitalopram,response to citalopram	unipolar depression,mood disorder	GCST003802	683092:03:00	27622933	Li QS
rs201921722-?	7.00E-07	-	NR	1.2642225	-	[1.15-1.39]	SCN3B,ZNF202	Response to citalopram or escitalopram in depression	response to escitalopram,response to citalopram	unipolar depression,mood disorder	GCST003802	2061344:20:00	27622933	Li QS
rs80278479-?	8.00E-07	-	NR	14.492754	-	[3.88-55.56]	TFAP2D	Response to citalopram or escitalopram in depression	response to escitalopram,response to citalopram	unipolar depression,mood disorder	GCST003802	845980:26:00	27622933	Li QS
rs13432159-G	9.00E-08	(Sertraline, General side effects)	0.08	-	-	-	LINC01812	Response to anti-depressant treatment in major depressive disorder	response to sertraline,antidepressant-induced side effect,response to antidepressant	-	GCST001308	1129114:35:00	22041458	Clark SL
rs6724422-T	4.00E-07	(Sertraline, General side effects)	0.06	-	-	-	LINC01812	Response to anti-depressant treatment in major depressive disorder	response to sertraline,antidepressant-induced side effect,response to antidepressant	-	GCST001308	1129162:56:00	22041458	Clark SL
rs6063349-?	7.00E-07	-	NR	1.183432	-	[1.11-1.27]	CSE1L	Non-response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003810	817775:45:00	27622933	Li QS
rs142641502-?	8.00E-07	-	NR	4.565	-	[2.155-9.671]	CSTF3	Non-response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003810	551842:01:00	27622933	Li QS
rs201569130-?	9.00E-07	-	NR	3.009	-	[1.785-5.073]	FOXF2	Non-response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003810	23387:56:00	27622933	Li QS
rs1548076-?	1.00E-06	-	NR	2.4937656	-	[1.63-3.82]	DRAIC	Non-response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003810	1165586:24:00	27622933	Li QS
rs182377406-?	1.00E-06	-	NR	5.773	-	[3.250-10.254]	GPR152,CORO1B	Non-response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003810	1124167:18:00	27622933	Li QS
rs143934587-?	7.00E-07	-	NR	6.711409	-	[3.61-12.5]	SLC24A3	Response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003811	319450:06:00	27622933	Li QS
rs74860738-?	3.00E-07	-	NR	1.2870014	-	[1.17-1.41]		Response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003811	1344539:03:00	27622933	Li QS
rs189864513-?	8.00E-07	-	NR	12.345678	-	[5.65-27.03]	LINC01618	Response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003811	879460:30:00	27622933	Li QS
rs11924809-?	1.00E-06	-	NR	1.215	-	[1.122-1.316]	DGKG	Response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003811	3105897:16:00	27622933	Li QS
